observation_date,LNS14000024
2017-01-01,4.3
2017-02-01,4.2
2017-03-01,4.1
2017-04-01,4.0
2017-05-01,4.0
2017-06-01,3.9
2017-07-01,4.0
2017-08-01,4.0
2017-09-01,3.9
2017-10-01,3.8
2017-11-01,3.8
2017-12-01,3.8
2018-01-01,3.7
2018-02-01,3.7
2018-03-01,3.7
2018-04-01,3.7
2018-05-01,3.5
2018-06-01,3.6
2018-07-01,3.5
2018-08-01,3.5
2018-09-01,3.4
2018-10-01,3.5
2018-11-01,3.4
2018-12-01,3.6
2019-01-01,3.6
2019-02-01,3.4
2019-03-01,3.5
2019-04-01,3.3
2019-05-01,3.3
2019-06-01,3.3
2019-07-01,3.4
2019-08-01,3.3
2019-09-01,3.2
2019-10-01,3.3
2019-11-01,3.2
2019-12-01,3.2
2020-01-01,3.2
2020-02-01,3.2
2020-03-01,4.1
2020-04-01,14.2
2020-05-01,12.6
2020-06-01,10.6
2020-07-01,9.9
2020-08-01,8.1
2020-09-01,7.5
2020-10-01,6.6
2020-11-01,6.4
2020-12-01,6.3
2021-01-01,6.1
2021-02-01,5.9
2021-03-01,5.8
2021-04-01,5.8
2021-05-01,5.6
2021-06-01,5.7
2021-07-01,5.2
2021-08-01,4.9
2021-09-01,4.5
2021-10-01,4.2
2021-11-01,3.9
2021-12-01,3.7
2022-01-01,3.7
2022-02-01,3.6
2022-03-01,3.4
2022-04-01,3.4
2022-05-01,3.4
2022-06-01,3.3
2022-07-01,3.2
2022-08-01,3.3
2022-09-01,3.2
2022-10-01,3.3
2022-11-01,3.3
2022-12-01,3.2
