"State","income_pre","income_post"
"AL",41430,49332.6666666667
"AK",58667,65455.3333333333
"AZ",45423.3333333333,55958
"AR",42723.6666666667,51757
"CA",61139,74564.3333333333
"CO",57750.6666666667,70963.6666666667
"CT",71827.3333333333,81082.6666666667
"DE",52148.3333333333,59668.6666666667
"DC",81838,96202.6666666667
"FL",51042.6666666667,60982.6666666667
"GA",46663,54910.6666666667
"HI",52000,60189.3333333333
"ID",43443.6666666667,53999.6666666667
"IL",55623.6666666667,65502
"IN",46464.3333333333,55952.3333333333
"IA",48404.6666666667,57443.6666666667
"KS",50236.3333333333,58808.6666666667
"KY",41842.3333333333,50478.6666666667
"LA",45322,53580.6666666667
"ME",47872.3333333333,58361
"MD",59961,68295
"MA",69213.6666666667,82295
"MI",46976.6666666667,55864
"MN",55976.6666666667,66197.3333333333
"MS",37781.6666666667,45479.3333333333
"MO",46628.6666666667,55919.6666666667
"MT",47410.3333333333,58023.3333333333
"NE",51494,62395
"NV",49407.3333333333,59308
"NH",60719.6666666667,72053
"NJ",64473.3333333333,74642
"NM",41131.6666666667,50078
"NY",64298.3333333333,74605.6666666667
"NC",46213.6666666667,55891
"ND",54553.3333333333,65795
"OH",47776.6666666667,56156.6666666667
"OK",46026.6666666667,54151.6666666667
"OR",49988.3333333333,60986.3333333333
"PA",54164.3333333333,63120
"RI",52556.3333333333,62074.3333333333
"SC",44117.3333333333,52122.3333333333
"SD",51798.3333333333,65390.6666666667
"TN",46586.3333333333,56178.3333333333
"TX",51047,59266.3333333333
"UT",45552,56843.6666666667
"VT",51992.6666666667,60820.3333333333
"VA",56289.6666666667,66014.6666666667
"WA",60018.3333333333,72275.6666666667
"WV",40819,47930
"WI",50400.3333333333,59242.6666666667
"WY",59142.6666666667,70816.6666666667
NA,65213.3333333333,76497.6666666667
NA,61185,70837
NA,49882.3333333333,58962.6666666667
NA,50779,60584
NA,47306.3333333333,56420
NA,49125,57780.3333333333
NA,51687,63601.6666666667
NA,59268.3333333333,71898.3333333333
