"State","pce_pre","pce_post"
"AL",170014.4,196804.066666667
"AK",35958.9666666667,39427.2333333333
"AZ",273181.1,333781.166666667
"AR",101608.4,117945.7
"CA",1849793.83333333,2139168.06666667
"CO",261948.466666667,313687.4
"CT",182523.733333333,203649.066666667
"DE",44168.8666666667,50647.2666666667
"DC",47614.6333333333,52676.0333333333
"FL",925570.133333333,1114739.5
"GA",398828.966666667,468771.533333333
"HI",64049.6,71517.2333333333
"ID",59861.3666666667,75122.4333333333
"IL",558868.466666667,627578.766666667
"IN",251360,291369.5
"IA",119766.433333333,134375.333333333
"KS",111071.866666667,125217.666666667
"KY",160233.766666667,183980.233333333
"LA",171785.466666667,193674.733333333
"ME",60739.4666666667,70963.5333333333
"MD",272378.8,299305.4
"MA",368982.633333333,413192.9
"MI",411154.866666667,459651.966666667
"MN",253577.966666667,278423.4
"MS",94349.4333333333,107906.6
"MO",243511.133333333,276274.466666667
"MT",44053.8,52765.5666666667
"NE",77672.3333333333,89083.3666666667
"NV",121954.566666667,145377.1
"NH",68971.7,78879.0666666667
"NJ",446385.833333333,509910.033333333
"NM",73642.8,83944.0333333333
"NY",966752.3,1064454.53333333
"NC",387915,465105.066666667
"ND",34320.0333333333,38305.2333333333
"OH",462525.033333333,519129.033333333
"OK",134973,154694.7
"OR",173100.8,201641.366666667
"PA",571805.766666667,638546.766666667
"RI",46298.7,52881.3666666667
"SC",186770.3,222431.4
"SD",35195.7,41099.6333333333
"TN",250452.2,296710.2
"TX",1122723.56666667,1339116.4
"UT",115016.833333333,145383.766666667
"VT",29972.6333333333,33235.9333333333
"VA",363220.833333333,414743.3
"WA",344259.5,402317.133333333
"WV",66114.0666666667,73617.3
"WI",236292.033333333,267186.7
"WY",24605.3,28518.5
NA,757488.8,852801.866666667
NA,2349106.13333333,2615540.1
NA,1920200.3,2164915.93333333
NA,875115.333333333,982779.1
NA,3276862.96666667,3856429.53333333
NA,1604520.46666667,1911536.26666667
NA,505485.733333333,615477.633333333
NA,2589117.23333333,2999448.13333333
